ID,Type,SKU,Product Link,Name,Published,Is Featured,Visibility in catalog,Regular price,Images,Tax status,In stock?,Stock,Categories,Allow customer reviews,Brand,Color,Model,Model Name,Features,Description
371191,simple,SKU-DZLHQRVU,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA,,1,0,visible,,,taxable,1,45,car parts,1,,,,,,
471568,simple,SKU-GY20D57G,https://www.ebay.com/itm/384746494923?hash=item5994ad9bcb:g:8fYAAOSwm4hiE2Uv&amdata=enc%3AAQAIAAAAwG66evxT5JykX5vOeQwgq%2B3OoMzCMPESzb8OFdGWfsU5T3WX185JwI34n9%2Bx9jSsvMJaoykV50XtApebS0fSPaHNxsksf3C6X2r5Rt%2BthiPGSOfHonpmgOb3YLEUZzEXec9N09wu3hNLHZMHjuL2mZ1a0eh8Ed3xujK6mXCuqq%2BnnbMwmZiPwsgAGxwWtxoLHLKWmSTPa%2FcWgKYSDaOKqTNFDXa4SpX%2F%2BFEOCuGdWocgXj3PJYJPbHSm2ieoUMA1Tw%3D%3D%7Ctkp%3ABk9SR5ryqsusYw,Set of 40 pcs Car Body/Bumper Push Pin Rivet Retainer Trim Moulding Clip Parts,1,0,visible,3.79,"https://i.ebayimg.com/images/g/8fYAAOSwm4hiE2Uv/s-l960.jpg, https://i.ebayimg.com/images/g/DOcAAOSw8NplLtwK/s-l960.jpg, https://i.ebayimg.com/images/g/AfwAAOSwD-NiE2Uv/s-l960.jpg, https://i.ebayimg.com/images/g/KQEAAOSwXSRiE2Uq/s-l960.jpg, https://i.ebayimg.com/images/g/PHsAAOSwKfNiE2Uv/s-l960.jpg, https://i.ebayimg.com/images/g/TwMAAOSw-21iE2Uq/s-l960.jpg, https://i.ebayimg.com/thumbs/images/g/8fYAAOSwm4hiE2Uv/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/8fYAAOSwm4hiE2Uv/s-l300.webp",taxable,1,44,car parts,1,Unbranded,Black,,,,
724125,simple,SKU-QXR4UN0K,https://www.ebay.com/itm/373234320363?hash=item56e67fc3eb:g:vTEAAOSwrgVfbYn5&amdata=enc%3AAQAIAAAAwEUGGO0OooKLmD5jeRtkx3Doguixk406Ge0pgMT%2Fws6w0%2FSu2Tjcxis5eXYHdAfvNGQts9J4%2BE0LWMQh0MMwfxHvTYXjNpx9szGoj5qDf0w1lrBtRd2Z%2B5%2BWWAdrKn2vESVBFNlYhOVIp8p4o%2FLUVFdF9DRyuayjBPnrDn9oQuwlChBqxabMATOFufwYQvpqn8iCXJU%2BELFWRDP%2F6UsC6CewjU6KHCTeQbNGGmx51OsoRwjPmSZm5IjoLGZifglvhw%3D%3D%7Ctkp%3ABk9SR5ryqsusYw,[SILVER] Non-Slip Automatic Gas Brake Foot Pedal Pad Cover Car Accessories Parts,1,0,visible,11.99,"https://i.ebayimg.com/images/g/vTEAAOSwrgVfbYn5/s-l960.gif, https://i.ebayimg.com/images/g/DOcAAOSw8NplLtwK/s-l960.jpg, https://i.ebayimg.com/images/g/zyoAAOSwOb5fbYn6/s-l960.jpg, https://i.ebayimg.com/images/g/JTwAAOSwSyBfbYn6/s-l960.jpg, https://i.ebayimg.com/images/g/6e0AAOSwW15fbYn7/s-l960.jpg, https://i.ebayimg.com/images/g/KCwAAOSwfQlfbYn8/s-l960.jpg, https://i.ebayimg.com/images/g/vTEAAOSwrgVfbYn5/s-l960.gif, https://i.ebayimg.com/images/g/vTEAAOSwrgVfbYn5/s-l500.gif",taxable,1,33,car parts,1,OXILAM,Silver,,,,<h4>Specifications of the product:</h4><br><span>This product comes with all these below specifications and conditions</span><br><ul><li><strong>Condition: </strong> New: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is ...    the conditionNew: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store  unless the item was packaged by the manufacturer in non-retail packaging  such as an unprinted box or plastic bag. See the seller s listing for full details. See all condition definitionsopens in a new window or tab </li><li><strong>Brand: </strong> OXILAM</li><li><strong>Manufacturer part number: </strong> Does Not Apply</li><li><strong>Type: </strong> Accelerator and Brake Pedal Cover Set</li><li><strong>Placement on vehicle: </strong> Front Interior</li><li><strong>Color: </strong> Silver</li><li><strong>Fitment type: </strong> Direct Replacement</li><li><strong>Accelerator cover size: </strong> 150x80mm / 5.9x3.2 </li><li><strong>Brake cover size: </strong> 130x85mm / 5.1x3.4 </li><li><strong>Country/region of manufacture: </strong> China</li><li><strong>Material: </strong> Aluminium alloy  PVC</li><li><strong>Manufacturer warranty: </strong> 2 Year</li><li><strong>Refund will be given as: </strong> Money Back</li><li><strong>Finish: </strong> Aluminum</li></ul>
205558,simple,SKU-211UMJIY,https://www.ebay.com/itm/144086971079?hash=item218c40b2c7:g:wBcAAOSwjkphASKs&amdata=enc%3AAQAIAAAAwPMFuhfj74s8qJcR3iNz4osWq6j01gzemm3PLkRxPwV82guq0K%2BGLZh3TnBg4wH0YTX4cVeot8L1u%2B9eHL5wEdRAIZX4pM7WyU2OTCQ2XHyaJPgYwVGBce6q%2BLffz7T8QUeHx5ZbOryz1rbhRIObT%2FxocW%2BSueoVoL7xpzYW0lnVRwkjLCq4wNRm3DDMCNb8Ssb0FUFZWbjG0%2B4dJjPhCjpA2ZWBYwNsgKDce8E9NS73bJ4YdQfv5K7V6xiBMiLUXQ%3D%3D%7Ctkp%3ABk9SR5ryqsusYw,4X Universal Black Car Mud Flaps Splash Guards For Car Auto Accessories Parts,1,0,visible,24.99,"https://i.ebayimg.com/images/g/wBcAAOSwjkphASKs/s-l960.jpg, https://i.ebayimg.com/images/g/DOcAAOSw8NplLtwK/s-l960.jpg, https://i.ebayimg.com/images/g/iE8AAOSwDSBhASKu/s-l960.jpg, https://i.ebayimg.com/images/g/g-EAAOSwcgdhASKw/s-l960.jpg, https://i.ebayimg.com/images/g/LvUAAOSwKThhASKx/s-l960.jpg, https://i.ebayimg.com/images/g/UWMAAOSwlChhASKz/s-l960.jpg, https://i.ebayimg.com/thumbs/images/g/wBcAAOSwjkphASKs/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/wBcAAOSwjkphASKs/s-l300.webp",taxable,1,13,car parts,1,AUXITO,Black,,,,<h4>Specifications of the product:</h4><br><span>This product comes with all these below specifications and conditions</span><br><ul><li><strong>Condition: </strong> New: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is ...    the conditionNew: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store  unless the item was packaged by the manufacturer in non-retail packaging  such as an unprinted box or plastic bag. See the seller s listing for full details. See all condition definitionsopens in a new window or tab </li><li><strong>Upc: </strong> Does not apply</li><li><strong>Brand: </strong> AUXITO</li><li><strong>Gallery upgrades: </strong> Do not use Gallery Plus</li><li><strong>Material: </strong> plastic</li><li><strong>Mpn: </strong> Does Not Apply</li><li><strong>Product size: </strong> 180mm*250mm</li><li><strong>Type: </strong> Universal Tire Fender</li><li><strong>Manufacturer warranty: </strong> 2 Years Warranty</li><li><strong>Manufacturer part number: </strong> DNB</li><li><strong>Placement on vehicle: </strong> left Right Rear</li><li><strong>Color: </strong> Black</li><li><strong>Display title in boldface: </strong> off</li><li><strong>Fitment type: </strong> direct replacement</li></ul>
610570,simple,SKU-0GPQ6URU,https://www.ebay.com/itm/354994921665?hash=item52a758a0c1:g:CGEAAOSwZppk5XXg&amdata=enc%3AAQAIAAAA4A%2BiDHxD3uxKDjGnzCdzDmgVmzhBStd4e2mpOCksNIqDnIklRFPm880YceKX2Lz0W4K9nOtNXuTUh1BPtyeKRsFS1%2Fy8Qk413HOWDL4PypQUwKG6hjxrefKKwg%2BiKA9uWrBP5RGow2hPgPRwnHeZGGKq7O02mfHEpR7XPxWBS9%2BV6XkYdcNtE1p%2BsmMBDpmYef0oZ4FJsqdh%2F%2FfWCWAactYknYM7grmi7WUzgKXruedRX8bCmkvOyQngN25GGK97XVeob1ubCHG%2BW8mzSm2Iu95DWX84iCZVFGL2dQwtqyJs%7Ctkp%3ABk9SR5ryqsusYw,Invisible Car Engine Ignition Start Stop Button Sticker Cover Film Accessories,1,0,visible,2.43,"https://i.ebayimg.com/images/g/CGEAAOSwZppk5XXg/s-l960.webp, https://i.ebayimg.com/images/g/V54AAOSw82Zk5XXh/s-l960.webp, https://i.ebayimg.com/images/g/W1sAAOSwoOdk5XXh/s-l960.webp, https://i.ebayimg.com/images/g/6E8AAOSwV3Nk5XXi/s-l960.webp, https://i.ebayimg.com/images/g/kgYAAOSwiqRk5XXh/s-l960.webp, https://i.ebayimg.com/images/g/9tcAAOSwKHdk5XXi/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/CGEAAOSwZppk5XXg/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/CGEAAOSwZppk5XXg/s-l300.webp",taxable,1,50,car parts,1,Unbranded,,,,,<h4>Specifications of the product:</h4><br><span>This product comes with all these below specifications and conditions</span><br><ul><li><strong>Condition: </strong> New</li><li><strong>Brand: </strong> Unbranded</li><li><strong>Manufacturer part number: </strong> Does Not Apply</li><li><strong>Type: </strong> Push Button Film</li><li><strong>Universal fitment: </strong> Yes</li><li><strong>To control: </strong> Array</li><li><strong>Mpn: </strong> Does Not Apply</li><li><strong>Upc: </strong> Does not apply</li></ul>
32871,simple,SKU-XEDNGENP,https://www.ebay.com/itm/403627736607?hash=item5dfa167e1f:g:Cg8AAOSwasxiFHBz&amdata=enc%3AAQAIAAAAwHsPtHlLFsMc1JuRSzrW50is%2BtZsBhqbZPWFYs%2FpGfQWc8dFjXLEN184hbVBDDbR8ocEkhgRjiNG67v8DnFa0FbGZdGO3495xTlTfv%2BPRe04LTNytOxlIdCM%2Foc6%2F0YpU7BYvlWHJ9vgwUDZg8209q8nkeZFSesxsE27wwWqQflIDfTjfba6nhayP0ZOI9j5vVJDyDt3h6bSiWYpSnq2%2FF3m9rd%2BnGOhLl9%2BGOlgwBEpwOb7tUUVYti%2BvEon0%2FQeyg%3D%3D%7Ctkp%3ABk9SR5zyqsusYw,White Car Paint Repair Pen Scratch Remover Touch Up Pen Accessories,1,0,visible,2.84,"https://i.ebayimg.com/images/g/Cg8AAOSwasxiFHBz/s-l960.jpg, https://i.ebayimg.com/images/g/4s4AAOSw65RlrceD/s-l960.png, https://i.ebayimg.com/images/g/DOcAAOSw8NplLtwK/s-l960.jpg, https://i.ebayimg.com/images/g/VX4AAOSw1TNiagsU/s-l960.jpg, https://i.ebayimg.com/images/g/nNcAAOSww-5iFZQA/s-l960.jpg, https://i.ebayimg.com/images/g/9nQAAOSw7s1iFHB2/s-l960.jpg, https://i.ebayimg.com/thumbs/images/g/Cg8AAOSwasxiFHBz/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/Cg8AAOSwasxiFHBz/s-l300.webp",taxable,1,20,car parts,1,Unbranded,white,,,"Easy Installation, Array",
876178,simple,SKU-SB35JWAU,https://www.ebay.com/itm/404654291043?hash=item5e37467863:g:dgAAAOSwZ9tlaR-k&amdata=enc%3AAQAIAAAAwGIjiAOcCE%2FgWW4hEcoQsBSwG0fw3b67AyEA1yTE4pGKKXh1odUeMS3tvs%2FeOdEO16IKM7%2BpG4a0IfWHieSxXh8%2BxNKSx%2BRgaJL1FntYK971l60JE4h%2BBzT4owLxT9wlILkO3g%2BiJ%2Ff1eIWLpQDO8WwlSn%2BHSOaFhHStljmjJl1SvL6VtQvoK7qdFcjHpnpPNyThcVAQ0oy7l5uYjL3LfhW02g1x612ZTD03EQEcZwpIiP2sA2TmsQIVZINlONfPPg%3D%3D%7Ctkp%3ABk9SR5zyqsusYw,2X Rear View Mirror Rain Board Eyebrow Guard Sun Visor Car Accessories for Honda,1,0,visible,12.99,"https://i.ebayimg.com/images/g/dgAAAOSwZ9tlaR-k/s-l960.jpg, https://i.ebayimg.com/images/g/DOcAAOSw8NplLtwK/s-l960.jpg, https://i.ebayimg.com/images/g/JwMAAOSwDDNlaR-r/s-l960.png, https://i.ebayimg.com/images/g/SwgAAOSwOKRlaR-v/s-l960.jpg, https://i.ebayimg.com/images/g/gZEAAOSwTC9laR-z/s-l960.jpg, https://i.ebayimg.com/images/g/Dt8AAOSwY5RlaR-0/s-l960.jpg, https://i.ebayimg.com/thumbs/images/g/dgAAAOSwZ9tlaR-k/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/dgAAAOSwZ9tlaR-k/s-l300.webp",taxable,1,3,car parts,1,Unbranded,Black,,,"Easy Installation, Self-Adhesive, Waterproof",<h4>Specifications of the product:</h4><br><span>This product comes with all these below specifications and conditions</span><br><ul><li><strong>Condition: </strong> New: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is ...    the conditionNew: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store  unless the item was packaged by the manufacturer in non-retail packaging  such as an unprinted box or plastic bag. See the seller s listing for full details. See all condition definitionsopens in a new window or tab </li><li><strong>Brand: </strong> Unbranded</li><li><strong>Color: </strong> Black</li><li><strong>Features: </strong> Easy Installation  Self-Adhesive  Waterproof</li><li><strong>Finish: </strong> Matte</li><li><strong>Placement on vehicle: </strong> Left  Right</li><li><strong>Type: </strong> Rain Eyebrow</li><li><strong>Upc: </strong> Does not apply</li></ul>
317400,simple,SKU-OTKKV3UO,https://www.ebay.com/itm/373234160223?hash=item56e67d525f:g:buIAAOSw789fbXK~&amdata=enc%3AAQAIAAAA4LAUcQ7oii1%2Ffjb4BEW%2BPBfNyYrOgyXBOnLa6Gk3brF1etER6YihKeCNpgZ0rRqtvaOpcsx2l4RhEA5WFLY8Hm3%2BeHPuR%2B1rfZpZEXcc8b8b9hZnO0XQqTgOcv4jkFUbRergFklMotUC3WZJPVwG7HHp%2F62ti3gXjPXom4l1nVY4ZwYC2o9Sox5BYOrlmNlDG6etBU1mRVxpdoBQjj5qaO8bPrksR16O1kI96S29FY3CDLQbK8%2FbQ18M7peRrDY0sKIv4CPe3Bu1L445XqjBaiW11WcIlAk7FW%2BM5%2FQGsFxH%7Ctkp%3ABk9SR5zyqsusYw,[RED] Non-Slip Automatic Gas Brake Foot Pedal Pad Cover Car Accessories Parts,1,0,visible,11.99,"https://i.ebayimg.com/images/g/buIAAOSw789fbXK~/s-l960.jpg, https://i.ebayimg.com/images/g/DOcAAOSw8NplLtwK/s-l960.jpg, https://i.ebayimg.com/images/g/e4AAAOSw6bRfbXLA/s-l960.jpg, https://i.ebayimg.com/images/g/qowAAOSwAadfbXLA/s-l960.jpg, https://i.ebayimg.com/images/g/YLkAAOSwoAZfbXLB/s-l960.jpg, https://i.ebayimg.com/images/g/n1kAAOSw5hJfbXLC/s-l960.jpg, https://i.ebayimg.com/thumbs/images/g/buIAAOSw789fbXK~/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/buIAAOSw789fbXK~/s-l300.webp",taxable,1,3,car parts,1,AXILAM,RED,,,,<h4>Specifications of the product:</h4><br><span>This product comes with all these below specifications and conditions</span><br><ul><li><strong>Condition: </strong> New: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is ...    the conditionNew: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store  unless the item was packaged by the manufacturer in non-retail packaging  such as an unprinted box or plastic bag. See the seller s listing for full details. See all condition definitionsopens in a new window or tab </li><li><strong>Brand: </strong> AXILAM</li><li><strong>Manufacturer part number: </strong> Does Not Apply</li><li><strong>Type: </strong> Accelerator and Brake Pedal Cover Set</li><li><strong>Placement on vehicle: </strong> Front Interior</li><li><strong>Color: </strong> RED</li><li><strong>Fitment type: </strong> Direct Replacement</li><li><strong>Accelerator cover size: </strong> 150x80mm / 5.9x3.2 </li><li><strong>Brake cover size: </strong> 130x85mm / 5.1x3.4 </li><li><strong>Country/region of manufacture: </strong> China</li><li><strong>Material: </strong> Aluminium alloy  PVC</li><li><strong>Manufacturer warranty: </strong> 2 Year</li><li><strong>Refund will be given as: </strong> Money Back</li><li><strong>Finish: </strong> Aluminum</li></ul>
484081,simple,SKU-H1VXF2DL,https://www.ebay.com/itm/395107517245?hash=item5bfe3e433d:g:0GAAAOSwrDtlUvHf&amdata=enc%3AAQAIAAAAwD1%2BzZ8WI%2BFwJfpyblD1fXgvK6fybFsP%2BkZdyR5dNOfXR1HWr18m5mSHnRrN0KPZtCQr%2Bku%2FdpvNfJGnYzKcO1zQu4Nh%2FKlZYJrXwbCqmqHnbSsU2xhDxX50utkJYzHS%2F%2B%2F8y5PSwkaxLkCWExReH2aARiDwevWarwLtCgrG501S5QUcecJnQbH2HmzTtfJmTipxeOgiFuMkrsy1Jq%2FCnUK%2FsX4AcbkYEl9euyhsPnlURzaKsk7IaiEQMz3SlcHEBQ%3D%3D%7Ctkp%3ABk9SR5zyqsusYw,4Pcs Car Door Plate Sill Scuff Cover Anti Scratch Decal Sticker for Toyota,1,0,visible,12.79,"https://i.ebayimg.com/images/g/0GAAAOSwrDtlUvHf/s-l960.webp, https://i.ebayimg.com/images/g/WIUAAOSwL9tlUvHg/s-l960.webp, https://i.ebayimg.com/images/g/pM8AAOSwZ4llUvHe/s-l960.webp, https://i.ebayimg.com/images/g/xtwAAOSwptVlUvHe/s-l960.webp, https://i.ebayimg.com/images/g/HmYAAOSwtkRlUvHf/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/0GAAAOSwrDtlUvHf/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/0GAAAOSwrDtlUvHf/s-l300.webp",taxable,1,1,car parts,1,Unbranded,Black,,,"Easy Installation, Waterproof",
340079,simple,SKU-KVGK3U7O,https://www.ebay.com/itm/395041405779?hash=item5bfa4d7b53:g:ZowAAOSwfeBlbb0l&amdata=enc%3AAQAIAAAA4OotwAJhCWYW1Swhdc%2BcWUkiHnLIfmR9Ay8gUxq8qKgvqhb3qIl0ntnG7IofvGho6txiW3a%2FtnBBRJPJ2RsdvMGPQwaWm99GkzfUv1mCAcJn5tEo7j1bnwkquD32C4pwFW22xpyBlFGcfm4K4%2Bw7uRKhBEJs0ZTnyt%2ByOvSRBUUfoLxJPTrxilD2rZBc3MtPWCfLFknQJf%2BMq%2B2eqeb4HAy4R8%2BKt4Yqc61c7dBrKuCXmO4%2FlrCLLitwtcSRWIb%2BhqwXz2VhkE2B%2BXl%2FZ0kiupHuBpYeMVrpzR9RvextOJ3k%7Ctkp%3ABk9SR5zyqsusYw,New Leather Key Case Bag Remote Key Fob Cover Keychain for Honda Car Accessories,1,0,visible,13.99,"https://i.ebayimg.com/images/g/ZowAAOSwfeBlbb0l/s-l960.jpg, https://i.ebayimg.com/images/g/DOcAAOSw8NplLtwK/s-l960.jpg, https://i.ebayimg.com/images/g/0~gAAOSwBGllbb0o/s-l960.jpg, https://i.ebayimg.com/images/g/7Z0AAOSwlv1lbb0s/s-l960.jpg, https://i.ebayimg.com/images/g/bUkAAOSwLB5lbb00/s-l960.jpg, https://i.ebayimg.com/images/g/ow0AAOSwlv5lbb02/s-l960.jpg, https://i.ebayimg.com/thumbs/images/g/ZowAAOSwfeBlbb0l/s-l960.webp, https://i.ebayimg.com/thumbs/images/g/ZowAAOSwfeBlbb0l/s-l300.webp",taxable,1,15,car parts,1,Unbranded,Clear,,,"Easy Installation, Waterproof",<h4>Specifications of the product:</h4><br><span>This product comes with all these below specifications and conditions</span><br><ul><li><strong>Condition: </strong> New: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is ...    the conditionNew: A brand-new  unused  unopened  undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store  unless the item was packaged by the manufacturer in non-retail packaging  such as an unprinted box or plastic bag. See the seller s listing for full details. See all condition definitionsopens in a new window or tab </li><li><strong>Brand: </strong> Unbranded</li><li><strong>Color: </strong> Clear</li><li><strong>Features: </strong> Easy Installation  Waterproof</li><li><strong>Finish: </strong> Matte</li><li><strong>Manufacturer part number: </strong> Does not apply</li><li><strong>Oe/oem part number: </strong> Does not apply</li><li><strong>Placement on vehicle: </strong> Front  Pocket</li><li><strong>Type: </strong> Car Key Case</li><li><strong>Upc: </strong> Does not apply</li></ul>
